timestamp,module,action,status,details
2026-03-24T00:48:33.2446773,MARKET,ITEM_DROPPED,SUCCESS,User: U001 | ProductId: 1 | QtyReturned: 1
2026-03-24T00:48:33.2521894,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Milk 1L | Qty: 2 | Total: 2.5â‚¬
2026-03-24T00:48:33.2531904,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Bread Loaf | Qty: 1 | Total: 1.1â‚¬
2026-03-24T00:48:33.2551901,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Eggs 12u | Qty: 2 | Total: 4.8â‚¬
2026-03-24T00:48:33.2571909,MARKET,ITEM_DROPPED,SUCCESS,User: U001 | ProductId: 3 | QtyReturned: 1
2026-03-24T00:48:33.2581904,PAYMENT,ITEM_PURCHASED,SUCCESS,User: U001 | Total: 7.25â‚¬ | Remaining: 67.8â‚¬
2026-03-24T00:48:33.288926,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Milk 1L | Qty: 2 | Total: 2.5â‚¬
2026-03-24T00:48:33.2970018,MARKET,ITEM_PURCHASED,FAILED,User: U002 | ProductId: 1 | Requested: 100 | Error: Stock: 0
2026-03-24T00:48:33.298002,PAYMENT,ITEM_PURCHASED,SUCCESS,User: U002 | Total: 0.0â‚¬ | Remaining: 50.0â‚¬
2026-03-24T00:48:33.3080521,MARKET,ITEM_PURCHASED,FAILED,User: U001 | ProductId: 1 | Requested: 2 | Error: Stock: 0
2026-03-24T00:48:33.3152355,MARKET,ITEM_PURCHASED,FAILED,User: U001 | ProductId: 1 | Requested: 2 | Error: Stock: 0
2026-03-24T00:48:33.3162365,PAYMENT,ITEM_PURCHASED,SUCCESS,User: U001 | Total: 2.5â‚¬ | Remaining: 65.3â‚¬
2026-03-24T00:48:33.3435109,MARKET,ITEM_PURCHASED,FAILED,User: U001 | ProductId: 1 | Requested: 2 | Error: Stock: 0
2026-03-24T00:48:33.3445116,PAYMENT,ITEM_PURCHASED,SUCCESS,User: U001 | Total: 0.0â‚¬ | Remaining: 65.3â‚¬
2026-03-24T01:10:33.6237536,MARKET,ITEM_PURCHASED,FAILED,User: U001 | ProductId: 1 | Requested: 2 | Error: Stock: 0
2026-03-24T01:10:33.6302676,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Bread Loaf | Qty: 3 | Total: 3.3000000000000003€
2026-03-24T01:10:33.6332751,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Eggs 12u | Qty: 1 | Total: 2.4€
2026-03-24T01:10:33.6405542,PAYMENT,ITEM_PURCHASED,SUCCESS,User: U001 | Total: 5.7€ | Remaining: 59.599999999999994€
2026-03-24T01:11:00.2655209,MARKET,ITEM_PURCHASED,FAILED,User: U001 | ProductId: 1 | Requested: 2 | Error: Stock: 0
2026-03-24T01:11:00.27399,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Bread Loaf | Qty: 3 | Total: 3.3000000000000003€
2026-03-24T01:11:00.2790036,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Eggs 12u | Qty: 1 | Total: 2.4€
2026-03-24T01:11:00.2855802,PAYMENT,ITEM_PURCHASED,SUCCESS,User: U001 | Total: 5.7€ | Remaining: 53.89999999999999€
2026-03-24T01:12:20.671514,MARKET,ITEM_PURCHASED,FAILED,User: U001 | ProductId: 1 | Requested: 2 | Error: Stock: 0
2026-03-24T01:12:20.675514,MARKET,ITEM_PURCHASED,FAILED,User: U001 | ProductId: 2 | Requested: 3 | Error: Stock: 1
2026-03-24T01:12:20.6795844,MARKET,ITEM_PURCHASED,SUCCESS,User: U001 | Product: Eggs 12u | Qty: 1 | Total: 2.4€
2026-03-24T01:12:20.6860872,PAYMENT,ITEM_PURCHASED,SUCCESS,User: U001 | Total: 2.4€ | Remaining: 51.49999999999999€
